City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
496,Kollam,IN,75.52,overcast clouds,8.88,76.6,The Raviz Ashtamudi
499,Riberalta,BO,77.72,overcast clouds,-10.98,-66.1,Hotel Colonial
507,Hue,VN,77.11,scattered clouds,16.47,107.6,Saigon Morin Hotel
514,Bagua Grande,PE,76.59,few clouds,-5.76,-78.44,HOTELNIEVA
515,Cockburn Town,TC,75.81,light rain,21.46,-71.14,Osprey Beach Hotel
517,Tautira,PF,76.1,light rain,-17.73,-149.15,Pension Oaoa
521,Port Keats,AU,90.0,scattered clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
524,Natal,BR,79.45,broken clouds,-5.79,-35.21,Villa Park Hotel | Natal
527,Morant Bay,JM,80.22,clear sky,17.88,-76.41,Whispering Bamboo Cove Resort
529,Brenham,US,78.71,clear sky,30.17,-96.4,Hampton Inn & Suites Brenham
534,Kralendijk,BQ,80.58,clear sky,12.15,-68.27,Divi Flamingo Beach Resort & Casino
542,Oistins,BB,80.69,few clouds,13.07,-59.53,Butterfly Beach Hotel
548,Luganville,VU,84.02,few clouds,-15.53,167.17,The Espiritu Hotel
549,Axim,GH,77.0,scattered clouds,4.87,-2.24,Axim Beach Resort And Spa
550,Oranjestad,AW,76.95,scattered clouds,12.52,-70.03,Divi Village Golf & Beach Resort
561,Ixtapa,MX,78.03,scattered clouds,20.7,-105.2,hotel la terminal
563,Catia La Mar,VE,79.0,scattered clouds,10.6,-67.03,HOTEL PLAYA GRANDE CARIBE
568,Pandan,PH,80.92,heavy intensity rain,14.05,124.17,Bonifacio Lodge
572,Banda Aceh,ID,79.61,broken clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
579,Itarema,BR,78.42,broken clouds,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
586,Gurupi,BR,77.07,overcast clouds,-11.73,-49.07,Via Norte Hotel
590,Abu Dhabi,AE,78.82,clear sky,24.47,54.37,Beach Rotana
593,Am Timan,TD,76.5,clear sky,11.03,20.28,Palais du chef Canton Salamt
595,Townsville,AU,86.88,few clouds,-19.25,146.8,Rydges Southbank Townsville
599,Isangel,VU,84.31,few clouds,-19.55,169.27,Tanna Lodge
602,Lakes Entrance,AU,75.16,scattered clouds,-37.88,147.98,The Esplanade Resort & Spa
603,Lorengau,PG,84.49,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
605,Rock Sound,BS,81.19,clear sky,24.9,-76.2,Pink Corral Bay Property
607,The Valley,AI,81.1,overcast clouds,18.22,-63.06,CeBlue Villas & Beach Resort
613,Ankola,IN,76.15,clear sky,14.67,74.3,Hotel K Plus
615,Bambanglipuro,ID,81.48,overcast clouds,-7.95,110.28,Puri Brata
617,Pasni,PK,77.86,clear sky,25.26,63.47,Kashmiri Hotal
625,Xapuri,BR,77.43,clear sky,-10.65,-68.5,Restaurante Viana
639,Neuquen,AR,80.85,light rain,-38.95,-68.06,Hotel del Comahue
645,Atambua,ID,84.11,overcast clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
648,Tual,ID,84.15,overcast clouds,-5.67,132.75,Grand Vilia Hotel
656,Pouebo,NC,82.08,scattered clouds,-20.4,164.57,RIVÂT LODGE
657,Waingapu,ID,85.78,overcast clouds,-9.66,120.26,Pondok Wisata Elim
658,Biltine,TD,77.83,clear sky,14.53,20.92,Hôtel Trois Étoiles de Biltine
664,Port Augusta,AU,84.99,clear sky,-32.5,137.77,Majestic Oasis Apartments
666,Alice,US,78.96,broken clouds,27.75,-98.07,"Holiday Inn Express & Suites Alice, an IHG Hotel"
