City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
508,Nelson Bay,AU,66.0,clear sky,-32.72,152.15,Mantra Nelson Bay
517,Ponta Delgada,PT,66.92,few clouds,37.73,-25.67,Vila Nova Hotel
518,Hofn,IS,42.82,broken clouds,64.25,-15.21,Hótel Höfn
520,Bage,BR,60.58,scattered clouds,-31.33,-54.11,Hotel Obino - Bagé
522,San Vicente De Canete,PE,61.88,few clouds,-13.08,-76.38,Hotel Konford
523,Krasnyy Kut,RU,42.17,broken clouds,50.95,46.97,Yubileynaya
526,Hamilton,US,52.99,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
528,Timra,SE,42.67,light rain,62.49,17.33,Bergefors park
529,Santa Isabel,BR,60.1,overcast clouds,-23.32,-46.22,Chácara Sombra do Altíssimo
532,Peniche,PT,68.56,overcast clouds,39.36,-9.38,Hotel Star inn Peniche
533,Loviisa,FI,46.29,overcast clouds,60.46,26.23,Tavastas Gård B&B
536,Hervey Bay,AU,68.76,clear sky,-25.3,152.85,Shelly Bay Resort
538,Kitakata,JP,49.86,scattered clouds,37.65,139.87,いろり古民家の宿 志ぐれ亭
539,Rafsanjan,IR,67.59,clear sky,30.41,55.99,Rafsanjan Tourism Hotel
546,Talara,PE,64.99,scattered clouds,-4.58,-81.27,Hostal Oro Negro
550,Sao Joao Do Paraiso,BR,69.15,overcast clouds,-15.31,-42.01,Avenida Palace Hotel
553,Ruteng,ID,63.9,overcast clouds,-8.61,120.47,Hotel FX 72
554,Kurilsk,RU,42.53,light rain,45.23,147.88,Hotel Ostrov
558,Half Moon Bay,US,52.79,overcast clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
559,Olesnica,PL,59.4,broken clouds,51.21,17.39,Perła
567,Lata,PT,63.07,overcast clouds,40.16,-8.33,Casa Maquia
569,La Trinitaria,MX,58.14,overcast clouds,16.12,-92.05,Hotel Trinitaria
573,Olga,RU,41.38,overcast clouds,43.74,135.29,Gostinitsa Rosmorport.
575,Gomel,BY,48.83,fog,52.43,30.98,Turyst
577,Mingshui,CN,53.46,clear sky,36.72,117.5,Grace Inn Zhangqiu Station Avenue Branch
589,Moshny,UA,49.37,overcast clouds,49.51,31.75,Кемпинг
593,Mantamados,GR,67.66,scattered clouds,39.31,26.33,Αρχοντικό Ζαχαριάδη
594,Salinas,US,54.41,light rain,36.68,-121.66,Laurel Inn & Conference Center
604,Huntsville,US,67.33,clear sky,34.73,-86.59,Embassy Suites by Hilton Huntsville
605,Sibenik,HR,65.86,scattered clouds,43.73,15.91,Hotel Jadran
607,Brownwood,US,57.2,overcast clouds,31.71,-98.99,La Quinta Inn & Suites by Wyndham Brownwood
619,Weiser,US,46.87,broken clouds,44.25,-116.97,The Colonial Motel
621,Christchurch,NZ,54.91,clear sky,-43.53,172.63,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
629,Shelby,US,66.9,mist,35.2,-89.87,Days Inn by Wyndham Memphis - I40 and Sycamore View
630,Lewiston,US,65.53,overcast clouds,44.1,-70.21,Hilton Garden Inn Auburn Riverwatch
632,Sulina,RO,55.36,scattered clouds,45.16,29.65,Hotel Delta Est
633,Havelock,US,67.93,fog,34.88,-76.9,Sherwood Motel
637,Xichang,CN,58.37,clear sky,27.9,102.26,Xichang ibis Hotel
643,Roma,US,58.87,few clouds,43.21,-75.46,Wingate By Wyndham Rome
650,Mirik,IN,56.73,broken clouds,26.89,88.18,OYO 67242 Sun View Resort
651,Boyabat,TR,63.28,overcast clouds,41.47,34.77,Kolaz Palas Otel
653,Sonoita,MX,61.84,overcast clouds,31.85,-112.83,Hotel internacional
654,Te Anau,NZ,48.02,overcast clouds,-45.42,167.72,Kingsgate Hotel Te Anau
655,Quzhou,CN,64.44,clear sky,28.96,118.87,Quzhou Jiujiu Business Hotel
657,Ceuta,ES,69.84,clear sky,35.89,-5.31,Ceuta Puerta de Africa
659,Svidnik,SK,56.91,overcast clouds,49.31,21.57,Country house
660,Tateyama,JP,63.27,overcast clouds,34.98,139.87,Tateyama Seaside Hotel
662,Ulladulla,AU,59.85,broken clouds,-35.35,150.47,Sandpiper Motel
664,Farroupilha,BR,59.09,few clouds,-29.23,-51.35,Hotel Nova Vicenza
665,Kankaanpaa,FI,47.16,overcast clouds,61.8,22.42,Kuntoutuskeskus Kankaanpää
667,Vaxjo,SE,50.05,light intensity drizzle,56.88,14.81,Elite Stadshotellet Vaxjo
668,Teruel,ES,59.45,broken clouds,40.67,-0.67,La Parra
672,Tezu,IN,68.13,clear sky,27.92,96.17,Circuit House
674,Mazeikiai,LT,45.64,overcast clouds,56.32,22.33,Hotel Synet
675,Lima,PE,60.91,overcast clouds,-12.04,-77.03,Gran Hotel Bolivar Lima
676,Karlstad,SE,46.96,broken clouds,59.38,13.5,Scandic Karlstad City
685,Moron,AR,67.01,scattered clouds,-34.65,-58.62,Hotel Morón
687,Praia Da Vitoria,PT,66.45,scattered clouds,38.73,-27.07,Hotel Branco I
688,Kajaani,FI,41.05,overcast clouds,64.23,27.73,Original Sokos Hotel Valjus
690,Baft,IR,59.0,clear sky,29.23,56.61,Paeez Hotel & restaurant
693,Santa Vitoria Do Palmar,BR,63.21,clear sky,-33.52,-53.37,Hostel Comodoro
701,Woodward,US,42.96,clear sky,36.43,-99.39,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
